term,score
구입할게요,0.6146783633518031
좋으면 구입할게요,0.6146783633518031
구매할게요,0.60060605682028
저렴한,0.6003083642502405
저렴한 가격에,0.6003083642502405
느낌이,0.5970491300160733
밀크가,0.5946340265327132
클렌징 밀크가,0.5946340265327132
제품이,0.5945810514295786
작아요,0.5914992480432603
촉촉잘씻깁니다,0.5912424571791419
촉촉잘씻깁니다 번창하세요,0.5912424571791419
쓰는,0.5901614217139957
싸게,0.5853095212274424
사용해,0.5817945607140911
괜찮으면,0.5810940859473543
배송이 빨라서,0.5781133522068723
배송이,0.5781133522068723
작아서 여행용으로,0.5774192905142372
배송이빨라좋네요,0.5773502691896257
배송이빨라좋네요 저렴한가격에잘샀어요,0.5773502691896257
촉촉한데세정력이좋아서사봅니다 좋아요굳,0.5773502691896257
촉촉한데세정력이좋아서사봅니다,0.5773502691896257
저렴한가격에잘샀어요,0.5773502691896257
좋아요굳,0.5773502691896257
주문했습니다,0.57116351238619
사용전이지만,0.5697218909503885
여행용,0.5697071871218612
바로,0.5693306700476868
사이즈,0.5688448536094516
엄청,0.5687198202815696
좋았어요,0.5676180549462628
않아서,0.5632138035422257
있었어요,0.5555147774649762
다시,0.5551779344110465
배송도,0.5538990685556875
같아,0.5523423876161899
빨라요,0.5462335553319435
배송 빨라요,0.5462335553319435
용량이,0.5436955243571178
용량이 작아서,0.5436955243571178
그래서,0.5364861690094292
순해서,0.5359227576661643
맘에,0.519705713076702
좋다고,0.5147356123865204
여행가서,0.5135480660772695
사용전이라,0.513093871849248
세정력,0.5117630645876179
밀크 사보고,0.5101225927095431
밀크 사보고 싶었는데,0.5101225927095431
사보고 싶었는데,0.5101225927095431
사보고,0.5101225927095431
한번,0.5067418421457719
기회로,0.5066066318641103
리얼베리어라 믿고,0.5017318093503287
궁금해서,0.5016785057321623
용량을,0.500859573877694
클렌징 오일,0.49602013724228955
오일,0.49602013724228955
갈때,0.4938585595586692
사용해볼 있어서,0.4933156417201766
사용해볼,0.4933156417201766
제품으로,0.49217654432312896
생각보다 크기가,0.49044483789077575
촉촉한,0.4868578100945298
맞으면,0.4864231411219609
가격도,0.4843386565690027
사이즈로,0.48364234827849706
여행용으로 쓰기,0.4826576018927802
구매해서,0.48145982694089706
없어요,0.47644320034850346
체험해볼,0.47512725457605826
메이크업,0.4747882728753323
타사,0.4695284100334485
쓰고 있어서,0.4674807631375658
저렴하게 사용해볼 있어서,0.4674700533047646
저렴하게 사용해볼,0.4674700533047646
다니기,0.46608635290667066
쓰는데,0.4629216193033208
생각보다 작아서,0.46260400004458613
행사,0.4544318534066749
써볼까합니다,0.45243424341521216
구매해봤습니다,0.4515308831841517
구매합니다,0.4514211628093384
여행용으로 크기도,0.44848642376864534
크기도 작고,0.44848642376864534
여행용으로 크기도 작고,0.44848642376864534
촉촉니,0.44769828964710734
샘플로,0.4444777578609231
이벤트로,0.44386001173573997
같습니다,0.443304384940916
좋구요,0.44233140877199734
여행용으로 좋구요,0.44233140877199734
크기도 여행용으로,0.44233140877199734
크기도 여행용으로 좋구요,0.44233140877199734
얼굴에,0.4402741961722402
유통기한,0.43897485882660753
피부에 자극 없음,0.4372432792609157
피부에 자극,0.4372432792609157
빨라서 잘샀어요,0.43611711947832527
