w1,w2,count,support
N12,N44,17,0.013877551020408163
N13,N17,17,0.013877551020408163
N13,N42,17,0.013877551020408163
N13,N44,17,0.013877551020408163
N14,N16,17,0.013877551020408163
N14,N19,17,0.013877551020408163
N14,N34,17,0.013877551020408163
N14,N42,17,0.013877551020408163
N14,N43,17,0.013877551020408163
N15,N33,17,0.013877551020408163
N15,N36,17,0.013877551020408163
N16,N18,17,0.013877551020408163
N16,N21,17,0.013877551020408163
N16,N34,17,0.013877551020408163
N16,N42,17,0.013877551020408163
N16,N45,17,0.013877551020408163
N17,N23,17,0.013877551020408163
N17,N32,17,0.013877551020408163
N17,N40,17,0.013877551020408163
N18,N40,17,0.013877551020408163
N19,N20,17,0.013877551020408163
N19,N33,17,0.013877551020408163
N19,N39,17,0.013877551020408163
N19,N44,17,0.013877551020408163
N20,N25,17,0.013877551020408163
N20,N32,17,0.013877551020408163
N20,N34,17,0.013877551020408163
N20,N42,17,0.013877551020408163
N20,N45,17,0.013877551020408163
N21,N22,17,0.013877551020408163
N21,N31,17,0.013877551020408163
N22,N24,17,0.013877551020408163
N22,N25,17,0.013877551020408163
N22,N40,17,0.013877551020408163
N22,N44,17,0.013877551020408163
N23,N24,17,0.013877551020408163
N23,N28,17,0.013877551020408163
N23,N36,17,0.013877551020408163
N23,N42,17,0.013877551020408163
N25,N35,17,0.013877551020408163
N25,N40,17,0.013877551020408163
N25,N44,17,0.013877551020408163
N25,N45,17,0.013877551020408163
N26,N41,17,0.013877551020408163
N27,N31,17,0.013877551020408163
N27,N33,17,0.013877551020408163
N28,N38,17,0.013877551020408163
N28,N39,17,0.013877551020408163
N31,N36,17,0.013877551020408163
N31,N41,17,0.013877551020408163
N31,N45,17,0.013877551020408163
N32,N36,17,0.013877551020408163
N36,N38,17,0.013877551020408163
N36,N41,17,0.013877551020408163
N40,N45,17,0.013877551020408163
N41,N42,17,0.013877551020408163
N43,N44,17,0.013877551020408163
N01,N06,16,0.013061224489795919
N01,N14,16,0.013061224489795919
N01,N36,16,0.013061224489795919
N02,N03,16,0.013061224489795919
N02,N26,16,0.013061224489795919
N02,N29,16,0.013061224489795919
N02,N30,16,0.013061224489795919
N03,N09,16,0.013061224489795919
N03,N18,16,0.013061224489795919
N03,N19,16,0.013061224489795919
N03,N40,16,0.013061224489795919
N04,N22,16,0.013061224489795919
N05,N07,16,0.013061224489795919
N05,N09,16,0.013061224489795919
N05,N31,16,0.013061224489795919
N05,N32,16,0.013061224489795919
N06,N20,16,0.013061224489795919
N06,N27,16,0.013061224489795919
N07,N25,16,0.013061224489795919
N07,N28,16,0.013061224489795919
N07,N43,16,0.013061224489795919
N08,N28,16,0.013061224489795919
N08,N32,16,0.013061224489795919
N08,N37,16,0.013061224489795919
N09,N10,16,0.013061224489795919
N09,N21,16,0.013061224489795919
N09,N25,16,0.013061224489795919
N09,N29,16,0.013061224489795919
N09,N39,16,0.013061224489795919
N10,N12,16,0.013061224489795919
N10,N42,16,0.013061224489795919
N11,N33,16,0.013061224489795919
N12,N25,16,0.013061224489795919
N12,N28,16,0.013061224489795919
N12,N36,16,0.013061224489795919
N13,N16,16,0.013061224489795919
N13,N27,16,0.013061224489795919
N13,N35,16,0.013061224489795919
N14,N17,16,0.013061224489795919
N14,N28,16,0.013061224489795919
N15,N16,16,0.013061224489795919
N15,N30,16,0.013061224489795919
N15,N35,16,0.013061224489795919
N15,N39,16,0.013061224489795919
N16,N35,16,0.013061224489795919
N17,N25,16,0.013061224489795919
N17,N38,16,0.013061224489795919
N18,N19,16,0.013061224489795919
N18,N28,16,0.013061224489795919
N19,N30,16,0.013061224489795919
N19,N31,16,0.013061224489795919
N19,N35,16,0.013061224489795919
N19,N38,16,0.013061224489795919
N20,N37,16,0.013061224489795919
N20,N39,16,0.013061224489795919
N21,N29,16,0.013061224489795919
N21,N38,16,0.013061224489795919
N22,N26,16,0.013061224489795919
N22,N32,16,0.013061224489795919
N22,N42,16,0.013061224489795919
N23,N27,16,0.013061224489795919
N23,N31,16,0.013061224489795919
N24,N29,16,0.013061224489795919
N24,N41,16,0.013061224489795919
N26,N39,16,0.013061224489795919
N27,N34,16,0.013061224489795919
N27,N41,16,0.013061224489795919
N28,N37,16,0.013061224489795919
N28,N41,16,0.013061224489795919
N29,N35,16,0.013061224489795919
N29,N42,16,0.013061224489795919
N30,N36,16,0.013061224489795919
N30,N44,16,0.013061224489795919
N32,N37,16,0.013061224489795919
N33,N39,16,0.013061224489795919
N36,N42,16,0.013061224489795919
N39,N40,16,0.013061224489795919
N01,N19,15,0.012244897959183673
N02,N05,15,0.012244897959183673
N02,N14,15,0.012244897959183673
N02,N32,15,0.012244897959183673
N04,N13,15,0.012244897959183673
N04,N24,15,0.012244897959183673
N04,N38,15,0.012244897959183673
N04,N39,15,0.012244897959183673
N05,N16,15,0.012244897959183673
N05,N35,15,0.012244897959183673
N06,N26,15,0.012244897959183673
N06,N44,15,0.012244897959183673
N07,N08,15,0.012244897959183673
N07,N10,15,0.012244897959183673
N07,N30,15,0.012244897959183673
N08,N16,15,0.012244897959183673
N08,N23,15,0.012244897959183673
N08,N41,15,0.012244897959183673
N09,N11,15,0.012244897959183673
N09,N26,15,0.012244897959183673
N09,N30,15,0.012244897959183673
N09,N34,15,0.012244897959183673
N09,N36,15,0.012244897959183673
N09,N40,15,0.012244897959183673
N09,N41,15,0.012244897959183673
N10,N23,15,0.012244897959183673
N10,N25,15,0.012244897959183673
N10,N43,15,0.012244897959183673
