w1,w2,support,count
N07,N09,0.017959183673469388,22
N07,N40,0.017959183673469388,22
N08,N33,0.017959183673469388,22
N08,N36,0.017959183673469388,22
N09,N12,0.017959183673469388,22
N10,N14,0.017959183673469388,22
N10,N18,0.017959183673469388,22
N10,N35,0.017959183673469388,22
N10,N44,0.017959183673469388,22
N11,N37,0.017959183673469388,22
N12,N19,0.017959183673469388,22
N12,N20,0.017959183673469388,22
N12,N29,0.017959183673469388,22
N12,N41,0.017959183673469388,22
N12,N45,0.017959183673469388,22
N13,N29,0.017959183673469388,22
N13,N32,0.017959183673469388,22
N13,N38,0.017959183673469388,22
N14,N18,0.017959183673469388,22
N14,N21,0.017959183673469388,22
N14,N22,0.017959183673469388,22
N14,N36,0.017959183673469388,22
N14,N37,0.017959183673469388,22
N15,N24,0.017959183673469388,22
N15,N43,0.017959183673469388,22
N16,N23,0.017959183673469388,22
N17,N20,0.017959183673469388,22
N17,N31,0.017959183673469388,22
N18,N38,0.017959183673469388,22
N18,N42,0.017959183673469388,22
N20,N24,0.017959183673469388,22
N21,N27,0.017959183673469388,22
N21,N35,0.017959183673469388,22
N22,N34,0.017959183673469388,22
N24,N45,0.017959183673469388,22
N25,N33,0.017959183673469388,22
N26,N40,0.017959183673469388,22
N29,N34,0.017959183673469388,22
N29,N38,0.017959183673469388,22
N29,N40,0.017959183673469388,22
N30,N31,0.017959183673469388,22
N31,N43,0.017959183673469388,22
N32,N33,0.017959183673469388,22
N33,N35,0.017959183673469388,22
N33,N36,0.017959183673469388,22
N33,N44,0.017959183673469388,22
N39,N41,0.017959183673469388,22
N40,N41,0.017959183673469388,22
N41,N45,0.017959183673469388,22
N01,N04,0.017142857142857144,21
N01,N08,0.017142857142857144,21
N01,N09,0.017142857142857144,21
N01,N10,0.017142857142857144,21
N01,N26,0.017142857142857144,21
N03,N07,0.017142857142857144,21
N03,N11,0.017142857142857144,21
N03,N14,0.017142857142857144,21
N03,N15,0.017142857142857144,21
N03,N37,0.017142857142857144,21
N03,N45,0.017142857142857144,21
N04,N17,0.017142857142857144,21
N04,N45,0.017142857142857144,21
N05,N26,0.017142857142857144,21
N06,N39,0.017142857142857144,21
N07,N16,0.017142857142857144,21
N07,N26,0.017142857142857144,21
N09,N33,0.017142857142857144,21
N10,N37,0.017142857142857144,21
N11,N14,0.017142857142857144,21
N11,N28,0.017142857142857144,21
N12,N32,0.017142857142857144,21
N13,N34,0.017142857142857144,21
N13,N43,0.017142857142857144,21
N14,N31,0.017142857142857144,21
N14,N33,0.017142857142857144,21
N14,N45,0.017142857142857144,21
N15,N22,0.017142857142857144,21
N15,N25,0.017142857142857144,21
N16,N38,0.017142857142857144,21
N16,N40,0.017142857142857144,21
N16,N43,0.017142857142857144,21
N17,N19,0.017142857142857144,21
N17,N30,0.017142857142857144,21
N17,N34,0.017142857142857144,21
N17,N35,0.017142857142857144,21
N17,N44,0.017142857142857144,21
N18,N20,0.017142857142857144,21
N19,N28,0.017142857142857144,21
N21,N37,0.017142857142857144,21
N22,N38,0.017142857142857144,21
N23,N35,0.017142857142857144,21
N23,N43,0.017142857142857144,21
N23,N44,0.017142857142857144,21
N24,N30,0.017142857142857144,21
N24,N33,0.017142857142857144,21
N24,N40,0.017142857142857144,21
N25,N29,0.017142857142857144,21
N25,N37,0.017142857142857144,21
N26,N31,0.017142857142857144,21
N27,N42,0.017142857142857144,21
N27,N43,0.017142857142857144,21
N28,N42,0.017142857142857144,21
N28,N43,0.017142857142857144,21
N30,N35,0.017142857142857144,21
N31,N37,0.017142857142857144,21
N32,N45,0.017142857142857144,21
N33,N38,0.017142857142857144,21
N33,N45,0.017142857142857144,21
N36,N45,0.017142857142857144,21
N37,N43,0.017142857142857144,21
N38,N39,0.017142857142857144,21
N39,N43,0.017142857142857144,21
N40,N43,0.017142857142857144,21
N01,N18,0.0163265306122449,20
N01,N23,0.0163265306122449,20
N01,N24,0.0163265306122449,20
N01,N40,0.0163265306122449,20
N01,N41,0.0163265306122449,20
N01,N45,0.0163265306122449,20
N02,N06,0.0163265306122449,20
N02,N20,0.0163265306122449,20
N02,N27,0.0163265306122449,20
N02,N45,0.0163265306122449,20
N03,N33,0.0163265306122449,20
N03,N34,0.0163265306122449,20
N03,N38,0.0163265306122449,20
N04,N32,0.0163265306122449,20
N05,N06,0.0163265306122449,20
N05,N18,0.0163265306122449,20
N05,N39,0.0163265306122449,20
N05,N43,0.0163265306122449,20
N05,N45,0.0163265306122449,20
N06,N32,0.0163265306122449,20
N07,N27,0.0163265306122449,20
N07,N37,0.0163265306122449,20
N07,N42,0.0163265306122449,20
N08,N29,0.0163265306122449,20
N08,N38,0.0163265306122449,20
N08,N43,0.0163265306122449,20
N08,N44,0.0163265306122449,20
N10,N15,0.0163265306122449,20
N10,N24,0.0163265306122449,20
N10,N33,0.0163265306122449,20
N10,N36,0.0163265306122449,20
N11,N13,0.0163265306122449,20
N11,N15,0.0163265306122449,20
N11,N16,0.0163265306122449,20
N11,N18,0.0163265306122449,20
N12,N13,0.0163265306122449,20
N12,N14,0.0163265306122449,20
N12,N38,0.0163265306122449,20
N13,N14,0.0163265306122449,20
N13,N15,0.0163265306122449,20
N13,N21,0.0163265306122449,20
N13,N25,0.0163265306122449,20
N13,N31,0.0163265306122449,20
N13,N36,0.0163265306122449,20
N13,N40,0.0163265306122449,20
N14,N32,0.0163265306122449,20
N14,N35,0.0163265306122449,20
N14,N38,0.0163265306122449,20
N15,N37,0.0163265306122449,20
N15,N45,0.0163265306122449,20
N16,N20,0.0163265306122449,20
