w1,w2,w3,support,count
N21,N34,N44,0.004897959183673469,6
N23,N29,N44,0.004897959183673469,6
N23,N30,N34,0.004897959183673469,6
N26,N27,N42,0.004897959183673469,6
N27,N29,N40,0.004897959183673469,6
N27,N38,N40,0.004897959183673469,6
N28,N42,N45,0.004897959183673469,6
N30,N39,N43,0.004897959183673469,6
N32,N33,N40,0.004897959183673469,6
N32,N40,N41,0.004897959183673469,6
N34,N42,N45,0.004897959183673469,6
N35,N43,N45,0.004897959183673469,6
N01,N02,N16,0.004081632653061225,5
N01,N02,N19,0.004081632653061225,5
N01,N03,N24,0.004081632653061225,5
N01,N03,N42,0.004081632653061225,5
N01,N03,N45,0.004081632653061225,5
N01,N04,N29,0.004081632653061225,5
N01,N04,N45,0.004081632653061225,5
N01,N05,N34,0.004081632653061225,5
N01,N06,N28,0.004081632653061225,5
N01,N07,N42,0.004081632653061225,5
N01,N09,N17,0.004081632653061225,5
N01,N10,N13,0.004081632653061225,5
N01,N10,N35,0.004081632653061225,5
N01,N15,N42,0.004081632653061225,5
N01,N19,N42,0.004081632653061225,5
N01,N21,N29,0.004081632653061225,5
N01,N26,N28,0.004081632653061225,5
N01,N27,N35,0.004081632653061225,5
N01,N28,N34,0.004081632653061225,5
N01,N28,N45,0.004081632653061225,5
N01,N29,N37,0.004081632653061225,5
N02,N03,N20,0.004081632653061225,5
N02,N04,N20,0.004081632653061225,5
N02,N05,N32,0.004081632653061225,5
N02,N08,N33,0.004081632653061225,5
N02,N11,N39,0.004081632653061225,5
N02,N13,N28,0.004081632653061225,5
N02,N14,N22,0.004081632653061225,5
N02,N15,N22,0.004081632653061225,5
N02,N15,N23,0.004081632653061225,5
N02,N15,N34,0.004081632653061225,5
N02,N17,N24,0.004081632653061225,5
N02,N19,N42,0.004081632653061225,5
N02,N20,N33,0.004081632653061225,5
N02,N20,N34,0.004081632653061225,5
N02,N25,N36,0.004081632653061225,5
N02,N25,N45,0.004081632653061225,5
N02,N34,N45,0.004081632653061225,5
N03,N04,N20,0.004081632653061225,5
N03,N05,N20,0.004081632653061225,5
N03,N10,N31,0.004081632653061225,5
N03,N10,N36,0.004081632653061225,5
N03,N12,N43,0.004081632653061225,5
N03,N13,N37,0.004081632653061225,5
N03,N16,N44,0.004081632653061225,5
N03,N18,N32,0.004081632653061225,5
N03,N20,N27,0.004081632653061225,5
N03,N20,N35,0.004081632653061225,5
N03,N24,N27,0.004081632653061225,5
N03,N30,N33,0.004081632653061225,5
N03,N30,N34,0.004081632653061225,5
N03,N33,N45,0.004081632653061225,5
N04,N08,N19,0.004081632653061225,5
N04,N08,N27,0.004081632653061225,5
N04,N10,N19,0.004081632653061225,5
N04,N10,N32,0.004081632653061225,5
N04,N11,N20,0.004081632653061225,5
N04,N12,N33,0.004081632653061225,5
N04,N16,N20,0.004081632653061225,5
N04,N16,N40,0.004081632653061225,5
N04,N19,N20,0.004081632653061225,5
N04,N20,N32,0.004081632653061225,5
N04,N23,N29,0.004081632653061225,5
N04,N25,N37,0.004081632653061225,5
N04,N37,N45,0.004081632653061225,5
N04,N42,N45,0.004081632653061225,5
N05,N11,N27,0.004081632653061225,5
N05,N11,N29,0.004081632653061225,5
N05,N11,N33,0.004081632653061225,5
N05,N13,N20,0.004081632653061225,5
N05,N14,N20,0.004081632653061225,5
N05,N14,N32,0.004081632653061225,5
N05,N18,N20,0.004081632653061225,5
